,词语,次数
1711,手巧,1
1712,后生,5
1713,生儿,1
1714,子玩,2
1715,玩具,19
1716,整,39
1717,大工,4
1718,工程,17
1719,蓝,32
1720,翔,69
1721,博士,11
1722,研究生,2
1723,段程序,1
1724,刚才,10
1725,！！！！,54
1726,ohhhhhhh,29
1727,头上,9
1728,上头,9
1729,全,68
1730,钢筋,1
1731,i,11
1732,深渊,2
1733,巨口,1
1734,人确,1
1735,确定,19
1736,牛人,4
1737,铁骨,1
1738,洋灰,1
1739,墙,8
1740,不服,8
1741,服,12
1742,工,16
1743,具,6
1744,办好,2
1745,扳手,1
1746,和,226
1747,钳子,3
1748,起头,1
1749,佩,1
1750,琪,2
1751,开颅,2
1752,手术,18
1753,材料,13
1754,头人,1
1755,第一个,16
1756,屏幕,18
1757,物理,22
1758,物理攻击,2
1759,攻击,11
1760,实用,14
1761,实用新型,1
1762,新型,5
1763,有些,20
1764,表面,14
1765,面上,2
1766,实际,2
1767,实际上,1
1768,却是,3
1769,等等,17
1770,盖掉,1
1771,夏,17
1772,疫情,1
1773,期间,2
1774,无聊,11
1775,脑壳,3
1776,IED,1
1777,多久,6
1778,币,92
1779,楼主,1
